# Fiscal events. Not scored; listed in the release drawer.
date,event,url
2024-03-06,Spring Budget 2024 (OBR March 2024 EFO),https://obr.uk/efo/economic-and-fiscal-outlook-march-2024/
2024-10-30,Autumn Budget 2024 (OBR October 2024 EFO),https://obr.uk/efo/economic-and-fiscal-outlook-october-2024/
2025-03-26,Spring Statement 2025 (OBR March 2025 EFO),https://obr.uk/efo/economic-and-fiscal-outlook-march-2025/
2025-11-26,Autumn Budget 2025 (OBR November 2025 EFO),https://obr.uk/efo/economic-and-fiscal-outlook-november-2025/
2026-03-03,Spring Forecast 2026 (OBR March 2026 EFO; forecast-only update with Chancellor statement),https://obr.uk/efo/economic-and-fiscal-outlook-march-2026/
2026-10-28,Autumn Budget 2026 (scheduled; OBR October 2026 EFO; commissioned 31 Jul 2026),https://obr.uk/october-2026-forecast-timetable/
